rowid,uni_name,major,degree,season,decision,decision_method,decision_date,decision_timestamp,ugrad_gpa,gre_verbal,gre_quant,gre_writing,is_new_gre,gre_subject,status,post_data,post_timestamp,comments
238,"University Of Minnesota, Twin Cities (UMN)",CS,MS,F15,Accepted,E-mail,28-04-2015,1430193600,3.2,170,165,4,TRUE,,American,11/5/15,1431316800,Deadline to accept/reject the offer is 15-May. Already accepted.
240,Lehigh University,CS,MS,F15,Rejected,E-mail,5-Sep-15,1431144000,3.4,148,166,4,TRUE,,International,9/5/15,1431144000,
246,"University Of California, Davis (UCD)",CS,MS,F15,Accepted,E-mail,5-Aug-15,1431057600,3.3,161,158,4.5,TRUE,,American,8/5/15,1431057600,Undergrad in animation from respected art school; took CS classes for 1.5 years after graduating and so had a 3.8 CSGPA. Will be attending UCLA.
248,University Of Southern California (USC),CS,MS,F15,Accepted,E-mail,5-Aug-15,1431057600,3.15,156,158,4,TRUE,,American,8/5/15,1431057600,"To the poster below, I don't have any relevant industry experience, research or publications. I do have some personal projects though."
250,University Of Southern California (USC),CS,MS,F15,Accepted,E-mail,5-Aug-15,1431057600,3.15,156,158,4,TRUE,,American,8/5/15,1431057600,"Was my first choice but they took forever to respond, I already accepted an offer from NYU... Also, does USC offer teaching assistantships to masters students?"
251,Drexel University,ECE,PhD,F15,Accepted,E-mail,5-Feb-15,1430539200,3.71,156,168,3.5,TRUE,,International,8/5/15,1431057600,No funding offer yet. Grad advisor and other professors are not responding.
252,"University Of Maryland, Baltimore County (UMBC)",CS,MS,F15,Accepted,E-mail,5-May-15,1430798400,3.6,159,164,3.5,TRUE,,International,8/5/15,1431057600,
253,University Of Southern California (USC),CS,PhD,F15,Rejected,Website,5-Aug-15,1431057600,3.91,152,166,4,TRUE,,International,8/5/15,1431057600,A non-cs undergrad. Had applied for robotics. Checked USConnect and found the decision there. No email from the department (how nice of them after FIVE months!!). Date of the letter was for May 6.
254,"University Of Minnesota, Twin Cities (UMN)",CS,MS,F15,Rejected,Website,5-Aug-15,1431057600,3.97,150,168,4.5,TRUE,,International,8/5/15,1431057600,Non cs undergrad .. little unexpected !
258,Rutgers University,CS,PhD,F15,Rejected,E-mail,5-Aug-15,1431057600,3.55,160,167,3.5,TRUE,,International,8/5/15,1431057600,No emails. Checked portal.
263,George Mason University (GMU),CS,MS,F15,Accepted,E-mail,16-03-2015,1426478400,3.3,143,160,3,TRUE,,International,7/5/15,1430971200,
264,North Caroline State University (NCSU),ECE,MS,F15,Rejected,Website,5-Jun-15,1430884800,3.1,156,161,3,TRUE,,International,7/5/15,1430971200,App submitted on 19-Nov-14
268,Michigan State University (MSU),CS,PhD,F15,Rejected,Website,5-Jul-15,1430971200,3.73,152,168,3,TRUE,,Other,7/5/15,1430971200,"Applied early. I think, managing professor could be worth here"
272,University Of Waterloo,CS,PhD,F15,Rejected,E-mail,5-Jun-15,1430884800,3.76,146,162,3,TRUE,,Other,6/5/15,1430884800,They took really long for rejection. 5 years experience of both industry and academics. TOEFL 100. Good LORs. 1 IEEE paper publication as an FYP supervisor.
273,"University Of Minnesota, Twin Cities (UMN)",CS,MS,F15,Rejected,Website,5-Jun-15,1430884800,3.5,140,160,3,TRUE,,International,6/5/15,1430884800,Sad :( Ambitious for my profile I guess
280,"University Of Minnesota, Twin Cities (UMN)",CS,MS,F15,Rejected,Website,5-Jun-15,1430884800,3.6,159,164,3.5,TRUE,,International,6/5/15,1430884800,
287,"University Of Minnesota, Twin Cities (UMN)",CS,MS,F15,Rejected,Website,5-Jun-15,1430884800,3.74,154,167,3.5,TRUE,,International,6/5/15,1430884800,And that ends the season for me. Good luck to everyone.
291,University Of Southern California (USC),CS,MS,F15,Rejected,Website,5-May-15,1430798400,3.6,161,168,3.5,TRUE,,American,5/5/15,1430798400,"accident below, actually rejected from intelligent robotics"
292,University Of Southern California (USC),CS,MS,F15,Accepted,Website,5-May-15,1430798400,3.6,161,168,3.5,TRUE,,American,5/5/15,1430798400,intelligent robotics
293,University Of Southern California (USC),CS,MS,F15,Accepted,Website,4-Dec-15,1428811200,3.6,161,168,3.5,TRUE,,American,5/5/15,1430798400,scientists & engineers
308,University Of Southern California (USC),CS,MS,F15,Rejected,Website,5-May-15,1430798400,3.5,158,168,4,TRUE,,International,5/5/15,1430798400,"I have a good admit elsewhere, so I'm fine"
310,University Of Southern California (USC),CS,MS,F15,Rejected,E-mail,5-May-15,1430798400,3.4,150,163,2.5,TRUE,,International,5/5/15,1430798400,Finally 10 Rejects :)) Will play agin next year now. :))
319,SUNY Albany,CS,MS,F15,Accepted,E-mail,5-Jan-15,1430452800,3,151,157,2.5,TRUE,,International,5/5/15,1430798400,"Easy admit, regretting for not trying for Buffalo, maybe I'd get that as well"
321,"California State University, Long Beach",CS,MS,F15,Accepted,Website,5-Mar-15,1430625600,3.8,151,161,3.5,TRUE,,American,4/5/15,1430712000,Received email of financial aid package so checked website and saw the acceptance
324,University Of Pennsylvania (UPenn),IS,MS,F15,Accepted,Website,5-Apr-15,1430712000,3.6,165,164,4,TRUE,,American,4/5/15,1430712000,Absurd amount of stress followed by relief. So happy :D
326,University Of Oklahoma,ECE,MS,F15,Rejected,Website,5-May-15,1430798400,3,149,158,2.5,TRUE,,International,4/5/15,1430712000,
332,NDSEG Fellowship,Other,PhD,F15,Accepted,E-mail,5-Jan-15,1430452800,3.8,167,170,6,TRUE,,American,4/5/15,1430712000,"Had received a rejection notice on April 1 without mention of a waitlist, so this came as a complete shock! I called and confirmed it was correct but received no explanation of why this occurred."
334,"Texas A&M University, College Station (TAMU)",ECE,PhD,F15,Accepted,Website,27-04-2015,1430107200,3.65,159,165,3.5,TRUE,,International,4/5/15,1430712000,TOEFL: 109; MS GPA: 4
342,Arizona State University (ASU),CS,PhD,F15,Accepted,E-mail,5-Feb-15,1430539200,3.51,153,167,3.5,TRUE,,International,2/5/15,1430539200,"TOEFL 104, Good recommendations, two years research, no paper, GPA of Master = 3.91. Received RA as well as a Doctoral Fellowship."
344,University Of Central Florida (UCF),CS,PhD,F15,Accepted,E-mail,5-Feb-15,1430539200,3.51,153,167,3.5,TRUE,,International,2/5/15,1430539200,"TOEFL 104, Good recommendations, two years research, no paper, GPA of Master = 3.91"
345,"University Of Illinois, Chicago (UIC)",CS,PhD,F15,Accepted,E-mail,5-Feb-15,1430539200,3.51,153,167,3.5,TRUE,,International,2/5/15,1430539200,"TOEFL 104, Good recommendations, two years research, no paper, GPA of Master = 3.91"
346,Ohio State University (OSU),CS,PhD,F15,Rejected,E-mail,5-Feb-15,1430539200,3.51,153,167,3.5,TRUE,,International,2/5/15,1430539200,"TOEFL 104, Good recommendations, two years research, no paper, GPA of Master = 3.91"
347,Oregon State University,CS,PhD,F15,Rejected,E-mail,5-Feb-15,1430539200,3.51,153,157,3.5,TRUE,,International,2/5/15,1430539200,"TOEFL 104, Good recommendations, two years research, no paper, GPA of Master = 3.91"
348,Virginia Tech,CS,PhD,F15,Rejected,E-mail,5-Feb-15,1430539200,3.51,153,167,3.5,TRUE,,International,2/5/15,1430539200,"TOEFL 104, Good recommendations, two years research, no paper, GPA of Master = 3.91"
349,"University Of Colorado, Boulder",CS,PhD,F15,Rejected,E-mail,25-03-2015,1427256000,3.44,159,156,3,TRUE,,American,2/5/15,1430539200,"Good recommendations, no publications, no advisor match found. Admitted to unfunded Masters"
350,University Of Houston,CS,PhD,F15,Accepted,Website,5-Feb-15,1430539200,3.47,145,161,3,TRUE,,International,2/5/15,1430539200,Got admission with TA offer + full tuition + Health insurance
351,"University Of California, Riverside (UCR)",CS,PhD,F15,Accepted,E-mail,17-02-2015,1424149200,3.44,159,156,3,TRUE,,American,2/5/15,1430539200,"Good recommendations, no publications. Admitted with fellowship"
352,"University Of California, Davis (UCD)",CS,PhD,F15,Accepted,E-mail,18-04-2015,1429329600,3.44,159,156,3,TRUE,,American,2/5/15,1430539200,"Good recommendations, no publications, perfect research fit. But no funding."
353,"University Of California, Irvine (UCI)",CS,PhD,F15,Rejected,E-mail,5-Feb-15,1430539200,3.44,159,156,3.5,TRUE,,American,2/5/15,1430539200,
354,Northeastern University,CS,PhD,F15,Rejected,E-mail,5-Feb-15,1430539200,3,150,167,3,TRUE,,International,2/5/15,1430539200,3 years of research as well as 1 conference paper on robotics. I was really shocked!
356,"University Of Minnesota, Twin Cities (UMN)",CS,MS,F15,Accepted,Website,5-Feb-15,1430539200,3.67,154,164,3,TRUE,,International,2/5/15,1430539200,
358,"University Of California, Irvine (UCI)",CS,PhD,F15,Rejected,Website,5-Jan-15,1430452800,3.8,157,170,4,TRUE,,International,2/5/15,1430539200,I applied on last day. Don't think they have seen my application. Have 5 no.(1st authored) IEEE Int publication. 3 strong reco.
362,Northeastern University,CS,PhD,F15,Rejected,Website,5-Jan-15,1430452800,2.7,153,160,3,TRUE,,International,1/5/15,1430452800,I have talked to one of the Professors! I can't believe it! after 5 month this is what I've got :(
366,Rutgers University,CS,MS,F15,Rejected,Other,5-Jan-15,1430452800,3.5,151,161,4,TRUE,,American,1/5/15,1430452800,May the force be with you.
371,Northeastern University,CS,PhD,F15,Rejected,Website,5-Jan-15,1430452800,1.93,160,163,3,TRUE,,International,1/5/15,1430452800,
373,University Of Pennsylvania (UPenn),IS,MS,F15,Accepted,E-mail,5-Jan-15,1430452800,3.3,164,166,5.5,TRUE,,American,1/5/15,1430452800,Finally! So excited to get in.
375,Rutgers University,CS,MS,F15,Rejected,E-mail,5-Jan-15,1430452800,3.4,150,163,2.5,TRUE,,International,1/5/15,1430452800,9th reject :(
378,"University Of California, Irvine (UCI)",CS,PhD,F15,Rejected,Website,30-04-2015,1430366400,3.65,159,165,3.5,TRUE,,International,1/5/15,1430452800,
382,North Caroline State University (NCSU),ECE,PhD,F15,Rejected,E-mail,30-04-2015,1430366400,3.89,158,168,4,TRUE,,International,1/5/15,1430452800,Email to check website.
393,"University Of California, Davis (UCD)",CS,MS,F15,Rejected,E-mail,30-04-2015,1430366400,3.4,157,168,3,TRUE,,International,30-04-2015,1430366400,Got mail with decision letter.
394,University Of Pennsylvania (UPenn),IS,MS,F15,Rejected,Website,29-04-2015,1430280000,3.73,156,158,5.5,TRUE,,American,30-04-2015,1430366400,Employer was offering to pay all tuition and fees
407,New York University (NYU),CS,MS,F15,Accepted,E-mail,30-04-2015,1430366400,3.15,156,158,4,TRUE,,American,30-04-2015,1430366400,Took them forever to respond. Not gonna accept since I've already accepted an offer from NYU Courant. Gl to everyone who's still waiting
413,"University Of California, Irvine (UCI)",CS,MS,F15,Rejected,E-mail,29-04-2015,1430280000,3.4,155,162,3.5,TRUE,,International,29-04-2015,1430280000,"finished the US MS season all rejects, worst wait timing of uci"
418,Imperial College London (ICL),CS,PhD,F15,Rejected,Website,29-04-2015,1430280000,3.75,164,170,4.5,TRUE,,International,29-04-2015,1430280000,less funding option for international students. funding was not available and hence i think was rejected.
422,"University Of Colorado, Colorado Springs",CS,MS,F15,Rejected,E-mail,28-04-2015,1430193600,2.95,151,157,2.5,TRUE,,International,29-04-2015,1430280000,Wasn't expecting
431,"University Of California, Irvine (UCI)",CS,MS,F15,Rejected,Website,28-04-2015,1430193600,3.7,151,168,3.5,TRUE,,International,28-04-2015,1430193600,I read somewhere if my application is under review its mostly a reject. All I needed to do was mail them and remind them to send a reject. I dont know why they kept me waiting for so long. Have other admits though
437,"University Of California, Irvine (UCI)",CS,PhD,F15,Rejected,E-mail,28-04-2015,1430193600,3.68,153,162,4,TRUE,,International,28-04-2015,1430193600,
442,"University Of California, Riverside (UCR)",CS,PhD,F15,Accepted,E-mail,20-04-2015,1429502400,3.56,158,165,4,TRUE,,American,28-04-2015,1430193600,"Highest Degree: BS in Computer Science, BS in Theoretical Mathematics

Received Eugene Cota-Robles (ECR) Fellowship."
444,Northeastern University,ECE,MS,F15,Accepted,E-mail,24-03-2015,1427169600,3.32,152,167,3.5,TRUE,,International,28-04-2015,1430193600,
449,University Of Alberta,CS,MS,F15,Rejected,E-mail,17-04-2015,1429243200,3,150,167,3,TRUE,,International,27-04-2015,1430107200,"TOEFL 97, one conference paper, 3 years of research experience, 'A' grade in all related ugrad courses, but sounds like the only thing that matters when in comes to Alberta is GPA and nothing else. I don't give a f... coz I'm going to US."
458,"University Of California, Irvine (UCI)",CS,MS,F15,Rejected,Website,18-04-2015,1429329600,3.83,142,161,3,TRUE,,International,27-04-2015,1430107200,
459,Florida State University (FSU),CS,MS,F15,Accepted,E-mail,14-04-2015,1428984000,3.83,142,161,3,TRUE,,International,27-04-2015,1430107200,
460,"University Of Illinois, Chicago (UIC)",CS,MS,F15,Accepted,Website,14-04-2015,1428984000,3.83,142,161,3,TRUE,,International,27-04-2015,1430107200,
461,Arizona State University (ASU),CS,MS,F15,Rejected,E-mail,4-Nov-15,1428724800,3.83,142,161,3,TRUE,,International,27-04-2015,1430107200,
462,New York University (NYU),CS,MS,F15,Rejected,E-mail,25-03-2015,1427256000,3.83,142,161,3,TRUE,,International,27-04-2015,1430107200,
463,University Of Georgia,CS,MS,F15,Accepted,E-mail,24-02-2015,1424754000,3.87,142,161,3,TRUE,,International,27-04-2015,1430107200,
465,"University Of California, Davis (UCD)",CS,MS,F15,Accepted,E-mail,15-03-2015,1426392000,3.4,158,163,4,TRUE,,International,27-04-2015,1430107200,"To the poster below, I heard from Davis for an MS in General CS a long time ago!"
480,"University Of Minnesota, Twin Cities (UMN)",CS,MS,F15,Accepted,Website,25-04-2015,1429934400,3.6,161,170,4,TRUE,,International,26-04-2015,1430020800,Congratulations to everyone else who has got in :)
482,"University Of Minnesota, Twin Cities (UMN)",CS,MS,F15,Accepted,E-mail,25-04-2015,1429934400,3.94,144,168,3,TRUE,,International with US Degree,25-04-2015,1429934400,"Status changed to 'Decision Made' yesterday and got an email this morning telling me to check for decision. Undergrad in CE, applied for CS."
484,TU Munich,CS,MS,F15,Accepted,E-mail,17-04-2015,1429243200,3.2,150,160,3.5,TRUE,,International,25-04-2015,1429934400,Got acceptance without interview
485,University Of Southern California (USC),CS,PhD,F15,Rejected,E-mail,24-04-2015,1429848000,3.55,160,167,3.5,TRUE,,International,25-04-2015,1429934400,"Knew this was coming since POI told me my application was not really ""competitive""."
488,Northeastern University,CS,MS,F15,Accepted,E-mail,16-04-2015,1429156800,3,158,161,3.5,TRUE,,International,25-04-2015,1429934400,33% Dean Scholarship :)
489,McGill Unviversity,CS,MS,F15,Accepted,E-mail,25-04-2015,1429934400,3.68,153,162,4,TRUE,,International,25-04-2015,1429934400,Finally first admit!
498,"University Of California, Irvine (UCI)",CS,MS,F15,Rejected,Website,25-04-2015,1429934400,3.5,144,145,3,TRUE,,International,25-04-2015,1429934400,"It was a long wait, but expected. However, I have an offer from another university. Good luck for the rest."
509,SUNY Buffalo,CS,MS,F15,Rejected,E-mail,24-04-2015,1429848000,3,150,163,3,TRUE,,International,24-04-2015,1429848000,8th reject
